FID,OBJECTID,UIDENT,NAW1_EN,NAW1_SP,NAW1_FR,NAW2_EN,NAW2_SP,NAW2_FR,NAW3_EN,NAW3_SP,NAW3_FR,NAW4_EN,NAW4_SP,NAW4_FR,TRANS_BND,MAP_COLOR,INTERNAL,FED_REF,COUNTRY,USA_REG,USA_SUB,USA_ACC,USA_REG_NA,USA_SUB_NA,USA_ACC_NA,CAN_MDA,CAN_SDA,CAN_MDA_EN,CAN_MDA_FR,CAN_SDA_EN,CAN_SDA_FR,MEX_FC_RH,MEX_REG_RH,EDIT_DATE,EDIT,comments,Shape_Leng,Shape_Area
859,860,91316,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Kodiak-Shelikof,Kodiak-Shelikof,Kodiak-Shelikof,-999,50,-999,190207,USA,19,1902,190207,Alaska Region,Southcentral Alaska,Kodiak-Shelikof, , , , , , ,-999, ,20081020,NEW, ,89201.855854599998565,178457727.180000007152557
860,861,91416,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Kodiak-Shelikof,Kodiak-Shelikof,Kodiak-Shelikof,-999,50,-999,190207,USA,19,1902,190207,Alaska Region,Southcentral Alaska,Kodiak-Shelikof, , , , , , ,-999, ,20081020,NEW, ,100480.340767000001506,325757417.898000001907349
861,862,91516,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Copper River,Copper River,Fleuve Copper,1,50,-999,190201,USA,19,1902,190201,Alaska Region,Southcentral Alaska,Copper River, , , , , , ,-999, ,20081020,NEW, ,22094.086413799999718,6849352.340259999968112
862,863,91616,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Prince William Sound,Prince William Sound,Prince William Sound,-999,50,-999,190202,USA,19,1902,190202,Alaska Region,Southcentral Alaska,Prince William Sound, , , , , , ,-999, ,20081020,NEW, ,22094.622853900000337,12393810.323499999940395
863,864,91716,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Kodiak-Shelikof,Kodiak-Shelikof,Kodiak-Shelikof,-999,50,-999,190207,USA,19,1902,190207,Alaska Region,Southcentral Alaska,Kodiak-Shelikof, , , , , , ,-999, ,20081020,NEW, ,28033.649999900000694,48087460.618299998342991
864,865,91816,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Prince William Sound,Prince William Sound,Prince William Sound,-999,50,-999,190202,USA,19,1902,190202,Alaska Region,Southcentral Alaska,Prince William Sound, , , , , , ,-999, ,20081020,NEW, ,74643.418733300000895,195776141.842000007629395
865,866,91916,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Kodiak-Shelikof,Kodiak-Shelikof,Kodiak-Shelikof,-999,50,-999,190207,USA,19,1902,190207,Alaska Region,Southcentral Alaska,Kodiak-Shelikof, , , , , , ,-999, ,20081020,NEW, ,20797.457519700001285,18530622.741000000387430
866,867,92016,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Kodiak-Shelikof,Kodiak-Shelikof,Kodiak-Shelikof,-999,50,-999,190207,USA,19,1902,190207,Alaska Region,Southcentral Alaska,Kodiak-Shelikof, , , , , , ,-999, ,20081020,NEW, ,24180.744177699998545,37932871.690700002014637
867,868,92116,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Prince William Sound,Prince William Sound,Prince William Sound,-999,50,-999,190202,USA,19,1902,190202,Alaska Region,Southcentral Alaska,Prince William Sound, , , , , , ,-999, ,20081020,NEW, ,131053.966356000004453,466529999.470000028610229
868,869,92216,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Prince William Sound,Prince William Sound,Prince William Sound,-999,50,-999,190202,USA,19,1902,190202,Alaska Region,Southcentral Alaska,Prince William Sound, , , , , , ,-999, ,20081020,NEW, ,42150.293720100002247,80414955.206300005316734
